Item,Status,Minimum_requirement,Preferred_requirement,Why,Benchmark_class
Optical attenuator / VOA,CONDITIONAL BUY,1550 nm; enough attenuation to set 0.8-1.0 mW at K1,VOA 0-20 dB if source power unknown/high,protect ADC/TIA when available SLD exceeds ~1.1 mW,generic 1550 nm VOA / fixed attenuator
In-line fiber polarizer,BUY / ORGANIZE,"1550 nm, ER >=25 dB, IL <=0.7 dB, RL >=55 dB","ER >=30 dB, IL <0.7 dB, RL >=60 dB, PM-compatible output preferred",v6 polarization model and v6.2 Lyot launch,OZ Optics miniature fiber polarizer class
PM fiber for Lyot,BUY / ORGANIZE,"PANDA PM1550, beat length <=5 mm @1550 nm, >=6 m purchase length","PM1550-XP/HP class; 1.7 m + 3.4 m active, 6 m total purchase",v6.2 safe depolarization design,PM1550-XP / PM1550-HP class
Lyot PM splice process,PROCESS / LAB CAPABILITY,"L1=1.7 m, L2=3.4 m, length ratio 1:2, relative axes 45 deg, error <=+/-0.7 deg",PM-aware fusion splicer / rotary alignment; target 45 deg +/-0.5 deg,v6.2 angle sweep: safe limit ~+/-0.7 deg,PM-capable fusion splicer / rotary axis alignment
Fiber phase shifter / PZT,BUY / ORGANIZE,1550 nm; bandwidth >=20 kHz; phase p-p >=1.93 pi; Vpi <=20 V preferred; low PDL/RAM,"All-fiber SM phase shifter class; IL <=0.1 dB, PDL <=0.05 dB, RL >=65 dB, RAM <=0.01 dB",v2 physical modulation requires beta=1.84 at 20 kHz,Luna FPS-001 class benchmark
PZT driver,BUY / ORGANIZE,20 kHz sine; >=38.7 Vpp for Vpi=20 V; preferred >=50 Vpp; capacitive-load capable,>=50 Vpp and >=30 kHz small-signal bandwidth; current sized after measured piezo capacitance,derived directly from required phase amplitude and Vpi,HV / piezo amplifier selected after Cpiezo measurement
SMF gyro coil fiber,BUY / ORGANIZE,"1000 m G.652.D / SMF-28 class, attenuation <=0.25 dB/km @1550 nm",SMF-28 Ultra / equivalent; coating about 242-250 um,v3/v6 low-cost non-PM coil hypothesis,Corning SMF-28 Ultra / equivalent
Coil former,FABRICATE,"core dia 155 mm, winding width >=30 mm, flange dia >=174 mm; material TBD v7",155 mm core x 30 mm winding window; actual effective diameter measured after winding,keeps weighted mean diameter close to 160 mm target,custom low-stress spool
TIA,BUILD / VERIFY,"Rf around 20 kOhm, bandwidth >=200 kHz, output compatible with 0..2 V ADC","20 kOhm, ~200 kHz class, low input noise",v4/v5 bandwidth and ADC headroom,custom / lab TIA
External connectors,BUY AS NEEDED,FC/APC preferred where demountable; return loss around >=60 dB preferred,FC/APC only at service boundaries,reduce back-reflections,FC/APC
Internal splices,PROCESS / CONSUMABLES,Fusion splice preferred; target <=0.05 dB per splice; avoid connectors inside Sagnac loop,Fusion splice + protection sleeves; PM axis control on Lyot splice,model assumes ~0.05 dB/splice and reciprocity,fusion splice
